
---------- Begin Simulation Statistics ----------
simSeconds                                   0.250840                       # Number of seconds simulated (Second)
simTicks                                 250840042000                       # Number of ticks simulated (Tick)
finalTick                                250840042000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    913.99                       # Real time elapsed on the host (Second)
hostTickRate                                274445253                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1215708                       # Number of bytes of host memory used (Byte)
simInsts                                    310031514                       # Number of instructions simulated (Count)
simOps                                      317254180                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   339207                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     347109                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        250840044                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.809079                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.235973                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       361673673                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   562275                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      349494207                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 134666                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             44981767                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          26666770                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               10041                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           250758665                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.393747                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.887768                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 131313316     52.37%     52.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  30009280     11.97%     64.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  27400388     10.93%     75.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  23970328      9.56%     84.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  16135253      6.43%     91.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   9038091      3.60%     94.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   8796947      3.51%     98.37% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   2500478      1.00%     99.36% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   1594584      0.64%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             250758665                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 1137323     18.36%     18.36% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  80341      1.30%     19.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     19.66% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   811      0.01%     19.67% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   611      0.01%     19.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    32      0.00%     19.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                10547      0.17%     19.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             49288      0.80%     20.64% # attempts to use FU when none available (Count)
