
---------- Begin Simulation Statistics ----------
simSeconds                                   0.371781                       # Number of seconds simulated (Second)
simTicks                                 371780945000                       # Number of ticks simulated (Tick)
finalTick                                371780945000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1542.99                       # Real time elapsed on the host (Second)
hostTickRate                                240948661                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1213660                       # Number of bytes of host memory used (Byte)
simInsts                                    540853256                       # Number of instructions simulated (Count)
simOps                                      542306733                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   350523                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     351465                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        371780947                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.687397                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.454763                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       634083592                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                  3355312                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      606949411                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 113001                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             95132170                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          55807779                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               28084                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           371679718                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.632990                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.981546                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 166592884     44.82%     44.82% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  50531273     13.60%     58.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  51448422     13.84%     72.26% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  33654239      9.05%     81.31% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  30740412      8.27%     89.58% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  16796537      4.52%     94.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  11329435      3.05%     97.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   7054494      1.90%     99.05% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   3532022      0.95%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             371679718                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2872362     29.61%     29.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  57344      0.59%     30.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     30.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                 63617      0.66%     30.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     1      0.00%     30.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                   198      0.00%     30.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                50901      0.52%     31.38% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             36238      0.37%     31.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                 15911      0.16%     31.92% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 4849      0.05%     31.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     31.97% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                   1837      0.02%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                     3      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                     0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                    0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd               612      0.01%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp                 0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt                 0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     31.99% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult              226      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc             4      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd            0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     32.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     32.00% # attempts to use FU when none available (Count)
