
---------- Begin Simulation Statistics ----------
simSeconds                                   0.265464                       # Number of seconds simulated (Second)
simTicks                                 265464472000                       # Number of ticks simulated (Tick)
finalTick                                265464472000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1008.62                       # Real time elapsed on the host (Second)
hostTickRate                                263196441                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1216736                       # Number of bytes of host memory used (Byte)
simInsts                                    352162873                       # Number of instructions simulated (Count)
simOps                                      359283591                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   349154                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     356214                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        265464473                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.753812                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.326591                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       416337926                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   654114                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      398344753                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 158641                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             57708448                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          36498193                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved               32924                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           265358327                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.501158                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.052236                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 139024639     52.39%     52.39% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  32118077     12.10%     64.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  25148564      9.48%     73.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  19118098      7.20%     81.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  20142825      7.59%     88.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                  10996092      4.14%     92.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                  10813714      4.08%     96.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                   5829334      2.20%     99.18% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                   2166984      0.82%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             265358327                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 2831212     33.60%     33.60% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  57353      0.68%     34.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     34.28% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   408      0.00%     34.29% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   643      0.01%     34.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    74      0.00%     34.30% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 9189      0.11%     34.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             13371      0.16%     34.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                  2388      0.03%     34.59% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                 4010      0.05%     34.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     34.64% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                  38102      0.45%     35.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     35.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAlu                      0      0.00%     35.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCmp                      0      0.00%     35.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCvt                      0      0.00%     35.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMisc                120142      1.43%     36.52% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMult                 24945      0.30%     36.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMultAcc                  0      0.00%     36.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdMatMultAcc               0      0.00%     36.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShift                   48      0.00%     36.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShiftAcc                 0      0.00%     36.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDiv                      0      0.00%     36.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSqrt                     0      0.00%     36.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAdd            212544      2.52%     39.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatAlu                 0      0.00%     39.34% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCmp             40449      0.48%     39.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatCvt               610      0.01%     39.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatDiv                 0      0.00%     39.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMisc                0      0.00%     39.83% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMult           243257      2.89%     42.71% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMultAcc         15791      0.19%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatMatMultAcc            0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatSqrt                0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAdd                0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceAlu                0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdReduceCmp                0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceAdd           74      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatReduceCmp            5      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAes                      0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAesMix                   0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash                 0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha1Hash2                0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash               0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha256Hash2              0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma2                0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdShaSigma3                0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSha3                     0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdSm4e                     0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdCrc                      0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdPredAlu                  0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdDotProd                  0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Matrix                       0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixMov                    0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MatrixOP                     0      0.00%     42.90% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemRead                1638673     19.45%     62.35% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::MemWrite               1113063     13.21%     75.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemRead            746971      8.87%     84.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMemWrite           295434      3.51%     87.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::InstPrefetch                 0      0.00%     87.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideLoad       583748      6.93%     94.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideStore         1864      0.02%     94.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskLoad            0      0.00%     94.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideMaskStore            0      0.00%     94.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedLoad              0      0.00%     94.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStridedStore             0      0.00%     94.88% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedLoad         323806      3.84%     98.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdIndexedStore             0      0.00%     98.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdWholeRegisterLoad         8186      0.10%     98.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdWholeRegisterStore         1575      0.02%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideFaultOnlyFirstLoad            0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedLoad            0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedStore            0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdUnitStrideSegmentedFaultOnlyFirstLoad            0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStrideSegmentedLoad            0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdStrideSegmentedStore            0      0.00%     98.84% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdExt                    598      0.01%     98.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdFloatExt                 0      0.00%     98.85% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdConfig               96825      1.15%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Add                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Cmp                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Cvt                  0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16DotProd              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16MatMultAcc            0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16Mult                 0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdBf16MultAcc              0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::Bf16Cvt                      0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::System                       0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu.issuedInstType_0::No_OpClass        619576      0.16%      0.16% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::IntAlu         251957082     63.25%     63.41% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::IntMult          2503426      0.63%     64.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::IntDiv               632      0.00%     64.04% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatAdd          293247      0.07%     64.11% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatCmp         2918863      0.73%     64.84% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatCvt          196882      0.05%     64.89% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatMult         105571      0.03%     64.92% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatMultAcc       258719      0.06%     64.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatDiv           12447      0.00%     64.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatMisc         539528      0.14%     65.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::FloatSqrt          13380      0.00%     65.12% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdAdd           517499      0.13%     65.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdAddAcc             0      0.00%     65.25% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdAlu            13930      0.00%     65.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdCmp                0      0.00%     65.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdCvt                0      0.00%     65.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdMisc          833310      0.21%     65.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdMult          115105      0.03%     65.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdMultAcc            0      0.00%     65.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdMatMultAcc            0      0.00%     65.50% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdShift          90661      0.02%     65.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdShiftAcc            0      0.00%     65.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdDiv                0      0.00%     65.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdSqrt               0      0.00%     65.52% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatAdd      1240783      0.31%     65.83% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatAlu            0      0.00%     65.83% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatCmp       628199      0.16%     65.99% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatCvt       345300      0.09%     66.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatDiv            0      0.00%     66.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatMisc            0      0.00%     66.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatMult       933952      0.23%     66.31% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatMultAcc       111314      0.03%     66.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatMatMultAcc            0      0.00%     66.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdFloatSqrt            0      0.00%     66.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdReduceAdd            0      0.00%     66.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdReduceAlu            0      0.00%     66.34% # Number of instructions issued per FU type, per thread (Count)
system.cpu.issuedInstType_0::SimdReduceCmp            0      0.00%     66.34% # Number of instructions issued per FU type, per thread (Count)
