
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000255                       # Number of seconds simulated (Second)
simTicks                                    254505000                       # Number of ticks simulated (Tick)
finalTick                                   254505000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.80                       # Real time elapsed on the host (Second)
hostTickRate                                316255067                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     402064                       # Number of bytes of host memory used (Byte)
simInsts                                       266250                       # Number of instructions simulated (Count)
simOps                                         268242                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   330786                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     333256                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           254506                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.955891                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.046144                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          420209                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2124                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         353824                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    492                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               154090                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            108177                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  36                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              223417                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.583693                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.994989                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    105575     47.25%     47.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     30108     13.48%     60.73% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     27247     12.20%     72.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     18417      8.24%     81.17% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     17529      7.85%     89.02% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     10694      4.79%     93.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      8267      3.70%     97.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3857      1.73%     99.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1723      0.77%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                223417                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     169      4.33%      4.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      9      0.23%      4.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      4.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      4.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      4.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      4.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  512     13.12%     17.68% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     17.68% # attempts to use FU when none available (Count)
