
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003540                       # Number of seconds simulated (Second)
simTicks                                   3539699000                       # Number of ticks simulated (Tick)
finalTick                                  3539699000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     17.30                       # Real time elapsed on the host (Second)
hostTickRate                                204594591                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     418748                       # Number of bytes of host memory used (Byte)
simInsts                                      4987664                       # Number of instructions simulated (Count)
simOps                                        5398499                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   288285                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     312031                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          3539700                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.709691                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.409064                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         8534318                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    15860                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        7735099                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  10712                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3151678                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1517362                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 700                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             3502544                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.208423                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.071012                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   1179310     33.67%     33.67% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    329649      9.41%     43.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    518430     14.80%     57.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    458101     13.08%     70.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    461320     13.17%     84.13% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    273209      7.80%     91.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    222225      6.34%     98.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     32788      0.94%     99.21% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     27512      0.79%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               3502544                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     799      0.56%      0.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2507      1.77%      2.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     2      0.00%      2.33% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  514      0.36%      2.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      2.69% # attempts to use FU when none available (Count)
