
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000243                       # Number of seconds simulated (Second)
simTicks                                    243392000                       # Number of ticks simulated (Tick)
finalTick                                   243392000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.94                       # Real time elapsed on the host (Second)
hostTickRate                                258025941                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     416704                       # Number of bytes of host memory used (Byte)
simInsts                                       266250                       # Number of instructions simulated (Count)
simOps                                         274398                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   282216                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     290850                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           243393                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.914152                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.093910                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          388216                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2132                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         350914                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    167                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               115949                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             68363                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  44                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              212536                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.651080                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.962462                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     92691     43.61%     43.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     31878     15.00%     58.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     27056     12.73%     71.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     19874      9.35%     80.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     18133      8.53%     89.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     10851      5.11%     94.33% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7393      3.48%     97.81% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3123      1.47%     99.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      1537      0.72%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                212536                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      67      2.14%      2.14% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      9      0.29%      2.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      2.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      2.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      2.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      2.43% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                  512     16.35%     18.77% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     18.77% # attempts to use FU when none available (Count)
