
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000515                       # Number of seconds simulated (Second)
simTicks                                    515334000                       # Number of ticks simulated (Tick)
finalTick                                   515334000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.99                       # Real time elapsed on the host (Second)
hostTickRate                                258710379                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     416700                       # Number of bytes of host memory used (Byte)
simInsts                                       539390                       # Number of instructions simulated (Count)
simOps                                         539390                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   270771                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     270770                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           515335                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.955403                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.046678                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          767259                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1086                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         678360                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    979                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               228954                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            180330                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  39                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              483955                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.401701                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.729426                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    219749     45.41%     45.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     77401     15.99%     61.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     81734     16.89%     78.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     41932      8.66%     86.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     29181      6.03%     92.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     18091      3.74%     96.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      9119      1.88%     98.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      4182      0.86%     99.47% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      2566      0.53%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                483955                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     672      7.93%      7.93% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      9      0.11%      8.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      8.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      8.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      8.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      8.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      8.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      8.04% # attempts to use FU when none available (Count)
