
---------- Begin Simulation Statistics ----------
simSeconds                                   0.005710                       # Number of seconds simulated (Second)
simTicks                                   5710067000                       # Number of ticks simulated (Tick)
finalTick                                  5710067000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     30.92                       # Real time elapsed on the host (Second)
hostTickRate                                184662913                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1203136                       # Number of bytes of host memory used (Byte)
simInsts                                     12337131                       # Number of instructions simulated (Count)
simOps                                       12339179                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   398980                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     399046                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          5710068                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.462836                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               2.160593                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        15304250                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       17                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14544939                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1321                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2965087                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1342464                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   3                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             5678350                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.561473                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.941972                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    996000     17.54%     17.54% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    872759     15.37%     32.91% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1027956     18.10%     51.01% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   1172069     20.64%     71.65% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    770439     13.57%     85.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    393451      6.93%     92.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     83284      1.47%     93.62% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    347790      6.12%     99.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     14602      0.26%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               5678350                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1990      0.69%      0.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      9      0.00%      0.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   746      0.26%      0.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                 2279      0.79%      1.74% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc              3414      1.18%      2.92% # attempts to use FU when none available (Count)
