
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001299                       # Number of seconds simulated (Second)
simTicks                                   1299151000                       # Number of ticks simulated (Tick)
finalTick                                  1299151000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.12                       # Real time elapsed on the host (Second)
hostTickRate                                212427546                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1203136                       # Number of bytes of host memory used (Byte)
simInsts                                      1905067                       # Number of instructions simulated (Count)
simOps                                        2022709                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   311497                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     330732                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          1299152                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.681946                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.466393                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         2820092                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     4651                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        2593170                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   1467                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               802016                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            447976                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 226                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1273963                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.035514                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              2.018311                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    451066     35.41%     35.41% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    159044     12.48%     47.89% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    183569     14.41%     62.30% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    153327     12.04%     74.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    141541     11.11%     85.45% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     89311      7.01%     92.46% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     82443      6.47%     98.93% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      9666      0.76%     99.69% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                      3996      0.31%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1273963                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    1040      6.55%      6.55% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2677     16.86%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     23.40% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    1      0.01%     23.41% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     23.41% # attempts to use FU when none available (Count)
