
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000227                       # Number of seconds simulated (Second)
simTicks                                    227452000                       # Number of ticks simulated (Tick)
finalTick                                   227452000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.27                       # Real time elapsed on the host (Second)
hostTickRate                                178695335                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1203132                       # Number of bytes of host memory used (Byte)
simInsts                                       386049                       # Number of instructions simulated (Count)
simOps                                         462091                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   303253                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     362983                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           227453                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.589182                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.697269                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          472795                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      222                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         470737                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     92                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                10925                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined              8041                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   9                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              198414                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.372499                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.875906                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     44106     22.23%     22.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     25522     12.86%     35.09% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     39490     19.90%     55.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     36217     18.25%     73.25% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     25750     12.98%     86.23% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     14931      7.53%     93.75% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                      7843      3.95%     97.70% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                      3569      1.80%     99.50% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       986      0.50%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                198414                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      26      0.32%      0.32% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2535     31.21%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     31.53% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     31.53% # attempts to use FU when none available (Count)
